Registration ID,Event ID,First Name,Last Name,Age,Gender,Email,Phone Number,Distance Length,Address,Postal Code,Province,City,Entry Type,Waiver
5,2,Arielle,Fitzgerald,50-59,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
6,1,Vladimir,Tablev,18-29,Male,v@gmail.com,4036147315,8KM,1317 27 Street SE,T2A4Y5,Alberta,Calgary,General $12,Y
7,1,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
8,2,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
9,1,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
10,1,Arielle,Fitzgerald,60-69,Female,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
11,2,Arielle,Fitzgerald,40-49,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
12,2,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
13,2,Arielle,Fitzgerald,18-29,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
14,2,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
15,2,Arielle,Fitzgerald,under 13,Male,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
16,1,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
17,3,Arielle,Fitzgerald,under 13,Male,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
18,4,Arielle,Fitzgerald,18-29,Female,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
19,9,Izabelle ,Weidemann,18-29,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
20,9,Arielle,Fitzgerald,30-39,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
21,5,Arielle,Fitzgerald,30-39,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
22,2,Arielle,Fitzgerald,under 13,Female,ariellefitzgerald22@gmail.com,6138853471,1KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
23,4,Arielle,Fitzgerald,40-49,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
24,5,Arielle,Fitzgerald,40-49,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,Full-time student $6,Y
25,3,Vladimir,Tabelev,40-49,Female,ariellefitzgerald22@gmail.com,4036147315,4KM,1317 27 Street SE,T2A4Y5,Alberta,Calgary,CRR Member $8,Y
26,3,Arielle,Fitzgerald,50-59,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,Full-time student $6,Y
27,4,Arielle,Fitzgerald,70-79,Female,ariellefitzgerald22@gmail.com,6138853471,8KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,Full-time student $6,Y
28,5,Oleg,Tablev,50-59,Female,hoafsong@gmail.com,1236,8KM,156 work,fa,af,calgary,CRR Member $8,Y
29,5,arielle,Fitzgerald,60-69,Female,ariellefitzgerald22@gmail.com,613-885-3471,8KM,11 home,kok2o,province,my city,CRR Member $8,Y
30,5,Leeann,Ducan,18-29,Female,leeann@gmail,45692,8KM,458 medicine hat,5696 ,alberta,med hat,Full-time student $6,Y
31,4,Arielle,Fitzgerald,30-39,Female,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,General $12,Y
32,3,Arielle,Fitzgerald,30-39,Male,ariellefitzgerald22@gmail.com,6138853471,4KM,88 Edgedale Drive,T3A 2R4,AB,Calgary,Full-time student $6,Y
